Row,Time,Temperature,Humidity
1,01:04:19,28.70,43.40
2,01:04:22,28.50,43.10
3,01:04:25,28.40,43.70
4,01:04:28,28.40,43.60
5,01:04:31,28.50,43.50
6,01:04:34,28.40,43.50
7,01:04:37,28.40,43.40
8,01:04:40,28.40,43.50
9,01:04:43,28.50,43.50
10,01:04:46,28.40,43.50
11,01:04:49,28.40,43.20
12,01:04:52,28.50,43.30
13,01:04:55,28.40,43.30
14,01:04:58,28.50,42.90
15,01:05:01,28.40,42.80
16,01:05:04,28.40,43.40
17,01:05:07,28.40,43.20
18,01:05:10,28.40,43.30
19,01:05:13,28.40,43.20
20,01:05:16,28.40,43.20
