Row,Time,Acceleration-x,Acceleration-y,Acceleration-z,Gyro-x,Gyro-y,Gyro-z,Mag-x,Mag-y,Mag-z
1,01:04:16,-0.023,0.042,0.903,-3.471,-1.93,-0.587,-29.637,84.575,-22.213
2,01:04:17,-0.025,0.04,0.908,-3.418,-1.999,-0.557,-30.702,85.999,-22.213
3,01:04:17,-0.028,0.045,0.901,-3.357,-1.968,-0.526,-29.992,85.999,-22.558
4,01:04:18,-0.021,0.04,0.905,-3.67,-2.068,-0.664,-29.992,85.643,-23.246
5,01:04:18,-0.026,0.041,0.904,-3.41,-2.029,-0.603,-29.992,84.931,-21.869
6,01:04:19,-0.025,0.043,0.906,-3.448,-1.877,-0.61,-30.169,85.109,-23.763
7,01:04:19,-0.025,0.043,0.907,-3.464,-1.907,-0.648,-31.234,86.177,-23.074
8,01:04:20,-0.023,0.04,0.909,-3.357,-1.854,-0.58,-29.637,85.643,-20.836
9,01:04:20,-0.024,0.044,0.905,-3.326,-1.945,-0.633,-30.879,85.465,-23.074
10,01:04:21,-0.025,0.043,0.903,-3.342,-1.999,-0.511,-30.702,84.219,-23.246
11,01:04:21,-0.024,0.042,0.905,-3.448,-1.923,-0.633,-29.637,83.863,-24.624
12,01:04:22,-0.021,0.042,0.908,-3.456,-1.884,-0.603,-30.524,84.753,-23.763
13,01:04:22,-0.024,0.042,0.904,-3.433,-1.892,-0.694,-30.347,84.931,-22.902
14,01:04:23,-0.026,0.042,0.905,-3.372,-1.915,-0.595,-30.169,84.753,-22.73
15,01:04:23,-0.025,0.042,0.905,-3.51,-1.923,-0.557,-30.524,85.821,-22.041
16,01:04:24,-0.024,0.04,0.903,-3.426,-1.968,-0.656,-30.347,85.999,-21.869
17,01:04:24,-0.023,0.039,0.908,-3.441,-1.961,-0.618,-31.057,87.068,-21.869
18,01:04:25,-0.025,0.041,0.905,-3.349,-1.93,-0.572,-30.702,85.999,-22.902
19,01:04:25,-0.022,0.04,0.908,-3.456,-1.884,-0.542,-29.459,84.397,-22.73
20,01:04:26,-0.024,0.042,0.906,-3.441,-1.869,-0.671,-30.524,85.109,-22.385
21,01:04:26,-0.024,0.041,0.905,-3.418,-1.945,-0.572,-31.057,85.999,-23.935
22,01:04:27,-0.023,0.042,0.905,-3.456,-1.907,-0.572,-30.879,85.821,-23.074
23,01:04:27,-0.023,0.042,0.906,-3.395,-1.923,-0.58,-31.057,85.287,-21.869
24,01:04:28,-0.023,0.04,0.906,-3.433,-1.915,-0.572,-31.412,84.931,-22.902
25,01:04:28,-0.026,0.039,0.909,-3.418,-1.945,-0.641,-30.347,85.287,-21.869
26,01:04:29,-0.026,0.041,0.906,-3.418,-1.961,-0.656,-29.637,85.643,-22.213
27,01:04:29,-0.024,0.041,0.903,-3.357,-1.862,-0.671,-30.879,85.465,-22.73
28,01:04:30,-0.025,0.041,0.906,-3.38,-1.877,-0.648,-30.347,85.643,-21.869
29,01:04:30,-0.024,0.041,0.906,-3.372,-1.854,-0.557,-30.169,84.753,-22.385
30,01:04:31,-0.024,0.042,0.905,-3.464,-1.915,-0.671,-30.169,84.397,-23.074
31,01:04:31,-0.026,0.041,0.906,-3.372,-1.854,-0.519,-30.169,85.465,-23.419
32,01:04:32,-0.022,0.042,0.905,-3.418,-1.915,-0.565,-28.75,84.397,-22.385
33,01:04:32,-0.022,0.042,0.904,-3.471,-1.884,-0.572,-30.524,85.465,-22.385
34,01:04:33,-0.022,0.035,0.905,-3.372,-1.785,-0.61,-30.524,86.534,-22.73
35,01:04:33,-0.024,0.037,0.901,-3.365,-1.869,-0.725,-30.524,85.109,-22.385
36,01:04:34,-0.023,0.038,0.907,-3.487,-1.9,-0.595,-30.524,85.465,-21.352
37,01:04:34,-0.024,0.041,0.907,-3.487,-1.93,-0.519,-30.347,85.287,-22.902
38,01:04:35,-0.025,0.041,0.905,-3.433,-1.945,-0.542,-29.459,86.177,-22.041
39,01:04:35,-0.024,0.042,0.904,-3.41,-1.907,-0.61,-29.459,85.109,-22.73
40,01:04:36,-0.024,0.044,0.908,-3.403,-1.945,-0.473,-30.702,85.287,-21.524
41,01:04:36,-0.024,0.041,0.908,-3.464,-1.93,-0.61,-29.459,85.465,-22.041
42,01:04:37,-0.023,0.042,0.907,-3.426,-1.854,-0.61,-30.169,85.465,-22.041
